game_date,game_pk,bp_batters_faced,bp_strikeouts,bp_walks,bp_swings,bp_whiffs,bp_pitches,team,bp_K_pct,bp_BB_pct,bp_whiff_pct
2025-05-25,777783,8,2,0,17,3,35,ATL,0.25,0.0,0.17647058823529413
2025-05-27,777748,16,4,3,26,10,64,ATL,0.25,0.1875,0.38461538461538464
2025-05-29,777723,15,4,1,36,12,65,ATL,0.26666666666666666,0.06666666666666667,0.3333333333333333
2025-05-29,777735,28,6,3,54,16,117,ATL,0.21428571428571427,0.10714285714285714,0.2962962962962963
2025-05-30,777719,16,5,1,33,14,70,ATL,0.3125,0.0625,0.42424242424242425
2025-05-31,777706,8,3,0,19,4,34,ATL,0.375,0.0,0.21052631578947367
2025-06-01,777692,12,8,0,23,9,49,ATL,0.6666666666666666,0.0,0.391304347826087
2025-06-03,777672,18,3,2,30,10,78,ATL,0.16666666666666666,0.1111111111111111,0.3333333333333333
2025-06-04,777654,14,2,3,18,5,56,ATL,0.14285714285714285,0.21428571428571427,0.2777777777777778
2025-06-05,777640,29,3,4,45,12,97,ATL,0.10344827586206896,0.13793103448275862,0.26666666666666666
2025-06-06,777619,12,3,1,21,4,47,ATL,0.25,0.08333333333333333,0.19047619047619047
2025-06-07,777598,4,1,0,7,1,15,ATL,0.25,0.0,0.14285714285714285
2025-06-08,777587,6,1,0,11,1,29,ATL,0.16666666666666666,0.0,0.09090909090909091
2025-06-09,777575,6,4,0,11,7,23,ATL,0.6666666666666666,0.0,0.6363636363636364
2025-06-10,777568,12,3,2,20,5,54,ATL,0.25,0.16666666666666666,0.25
2025-06-13,777535,22,6,1,42,12,79,ATL,0.2727272727272727,0.045454545454545456,0.2857142857142857
2025-06-14,777523,11,6,0,27,8,48,ATL,0.5454545454545454,0.0,0.2962962962962963
2025-06-15,777504,18,1,3,40,7,75,ATL,0.05555555555555555,0.16666666666666666,0.175
2025-06-17,777489,9,3,0,21,6,37,ATL,0.3333333333333333,0.0,0.2857142857142857
2025-06-18,777470,1,0,0,2,0,2,ATL,0.0,0.0,0.0
2025-06-19,777455,10,5,0,21,6,39,ATL,0.5,0.0,0.2857142857142857
2025-06-20,777439,14,3,3,26,7,61,ATL,0.21428571428571427,0.21428571428571427,0.2692307692307692
2025-06-21,777424,11,3,1,25,8,50,ATL,0.2727272727272727,0.09090909090909091,0.32
2025-06-22,777402,11,3,1,28,4,51,ATL,0.2727272727272727,0.09090909090909091,0.14285714285714285
2025-06-23,777389,8,2,0,21,5,38,ATL,0.25,0.0,0.23809523809523808
2025-06-24,777387,16,6,1,26,9,65,ATL,0.375,0.0625,0.34615384615384615
2025-06-25,777369,19,5,0,39,8,73,ATL,0.2631578947368421,0.0,0.20512820512820512
2025-06-26,777352,12,2,0,26,5,46,ATL,0.16666666666666666,0.0,0.19230769230769232
2025-06-27,777342,32,7,3,59,12,121,ATL,0.21875,0.09375,0.2033898305084746
2025-06-28,777333,8,2,0,18,4,32,ATL,0.25,0.0,0.2222222222222222
2025-06-29,777316,8,2,0,15,4,24,ATL,0.25,0.0,0.26666666666666666
2025-07-01,777298,18,0,4,37,2,88,ATL,0.0,0.2222222222222222,0.05405405405405406
2025-07-02,777279,18,6,0,28,6,69,ATL,0.3333333333333333,0.0,0.21428571428571427
2025-07-03,777261,16,7,1,30,13,66,ATL,0.4375,0.0625,0.43333333333333335
2025-07-04,777252,9,2,0,23,7,41,ATL,0.2222222222222222,0.0,0.30434782608695654
2025-07-05,777237,33,10,3,58,25,140,ATL,0.30303030303030304,0.09090909090909091,0.43103448275862066
2025-07-06,777222,12,4,0,19,4,42,ATL,0.3333333333333333,0.0,0.21052631578947367
2025-07-08,777189,27,7,1,62,13,124,ATL,0.25925925925925924,0.037037037037037035,0.20967741935483872
2025-07-09,777176,8,3,0,22,7,37,ATL,0.375,0.0,0.3181818181818182
2025-07-10,777156,14,5,0,25,14,52,ATL,0.35714285714285715,0.0,0.56
2025-07-11,777147,21,2,2,34,4,77,ATL,0.09523809523809523,0.09523809523809523,0.11764705882352941
2025-07-12,777133,28,11,4,56,17,134,ATL,0.39285714285714285,0.14285714285714285,0.30357142857142855
2025-07-13,777118,19,4,1,30,6,66,ATL,0.21052631578947367,0.05263157894736842,0.2
2025-07-18,777114,15,5,1,29,9,62,ATL,0.3333333333333333,0.06666666666666667,0.3103448275862069
2025-07-19,777097,29,3,3,56,13,124,ATL,0.10344827586206896,0.10344827586206896,0.23214285714285715
2025-07-20,777083,12,2,1,18,6,43,ATL,0.16666666666666666,0.08333333333333333,0.3333333333333333
2025-07-21,777069,17,2,0,31,3,58,ATL,0.11764705882352941,0.0,0.0967741935483871
